urban_area,year_range_CRU,annual_pre
Aarhus,1991-2020,641.250011873245
Bern,1991-2020,1051.64668127696
Bodø,1991-2020,1827.51336398522
Brno,1991-2020,568.033343040943
Gent,1991-2020,791.026679627101
Greifswald,1991-2020,557.486675276359
Groningen,1991-2020,801.633347713947
Konstanz,1991-2020,917.236683747172
Leuven,1991-2020,831.500013073285
Ljubljana,1991-2020,1414.620025599
Montreal,1991-2020,1088.32335020701
Oxford,1991-2020,691.713345209757
Rennes,1991-2020,778.056678676605
SF Bay Area,1991-2020,577.713343832393
Santa Cruz,1991-2020,784.403348198036
St. John's,1991-2020,1474.27335904439
Torhout,1991-2020,806.696681070328
Torino,1991-2020,833.896682171027
Trondheim,1991-2020,1062.29335136414
Vancouver,1991-2020,1970.30004321734
Verbania,1991-2020,1198.0366898338
Warwick,1991-2020,707.813344955444
