ID,LOCATION,GEOFLAG_remarks,GEOFLAG_lvl
493855,BODO,too far,2
493862,BODO,too far,2
496759,BODO,too far,2
496762,BODO,too far,2
514411,OXFORD,too far;other town,2
514416,OXFORD,too far;other town,2
514419,OXFORD,too far;other town,2
514427,OXFORD,too far;other town,2
514430,OXFORD,too far;other town,2
514437,OXFORD,too far;other town,2
514446,OXFORD,too far;other town,2
514455,OXFORD,too far;other town,2
514456,OXFORD,too far;other town,2
514463,OXFORD,too far;other town,2
514473,OXFORD,too far;other town,2
514479,OXFORD,too far;other town,2
514531,OXFORD,too far;other town,2
514543,OXFORD,too far;other town,2
514554,OXFORD,too far;other town,2
516735,BERKELEY,wrong coordinates,2
513875,OXFORD,same FUA;other town,1
513876,OXFORD,same FUA;other town,1
513885,OXFORD,same FUA;other town,1
513896,OXFORD,same FUA;other town,1
513905,OXFORD,same FUA;other town,1
513926,OXFORD,same FUA;other town,1
513947,OXFORD,same FUA;other town,1
513974,OXFORD,same FUA;other town,1
