urban_area,mean_human_modification_50km
Santa Cruz,0.3644949933301767
SF Bay Area,0.385039314022226
Vancouver,0.3823800421853037
Montreal,0.6187706429633177
St. John's,0.2821100005016106
Rennes,0.6099588002974143
Warwick,0.6981128705586841
Oxford,0.6560073740812372
Gent,0.7520702672577948
Leuven,0.7400961823117538
Groningen,0.5824431611625368
Bern,0.5913364537946856
Torino,0.6241317214443038
Trondheim,0.32275196879293727
Aarhus,0.6727190562169677
Konstanz,0.6219088741971296
Ljubljana,0.4259611973717791
Brno,0.6249696238999377
Torhout,0.7673605538150952
Verbania,0.4634942724166468
Bodø,0.20606871959293144
Greifswald,0.5591159767814622
